05/02/2025-09:46:38.681000  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:39682 -> 192.168.65.7:2375
05/02/2025-09:46:38.681174  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:64607 -> 192.168.65.7:2375
05/02/2025-09:46:38.681927  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:64607 -> 192.168.65.7:2375
05/02/2025-09:46:38.681911  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:39682 -> 192.168.65.7:2375
05/02/2025-09:46:38.682398  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:39682 -> 192.168.65.7:2375
05/02/2025-09:46:38.682495  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.7:2375 -> 192.168.65.1:64607
05/02/2025-09:46:38.682904  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.7:2375 -> 192.168.65.1:39682
05/02/2025-09:46:38.683533  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:39682 -> 192.168.65.7:2375
05/02/2025-09:46:38.683232  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:64607 -> 192.168.65.7:2375
05/02/2025-09:46:38.707864  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:54580 -> 192.168.65.7:2375
05/02/2025-09:46:38.708028  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:62974 -> 192.168.65.7:2375
05/02/2025-09:46:38.708798  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:54580 -> 192.168.65.7:2375
05/02/2025-09:46:38.708787  [**] [1:2260005:1] SURICATA Applayer Unexpected protocol [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:62974 -> 192.168.65.7:2375
05/02/2025-09:46:38.777844  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:43167 -> 192.168.65.7:2375
