------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:47:32 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 674
capture.afpacket.polls                        | Total                     | 842
capture.afpacket.poll_timeout                 | Total                     | 575
capture.afpacket.poll_data                    | Total                     | 267
decoder.pkts                                  | Total                     | 674
decoder.bytes                                 | Total                     | 145015
decoder.ipv4                                  | Total                     | 674
decoder.ethernet                              | Total                     | 674
decoder.tcp                                   | Total                     | 674
tcp.syn                                       | Total                     | 48
tcp.synack                                    | Total                     | 48
decoder.avg_pkt_size                          | Total                     | 215
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 48
flow.total                                    | Total                     | 49
flow.active                                   | Total                     | 49
flow.tcp                                      | Total                     | 49
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 11
tcp.sessions                                  | Total                     | 48
tcp.ssn_from_pool                             | Total                     | 48
tcp.segment_from_pool                         | Total                     | 216
app_layer.flow.http                           | Total                     | 47
app_layer.tx.http                             | Total                     | 48
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 13
flow.mgr.flows_notimeout                      | Total                     | 13
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1622016
http.memuse                                   | Total                     | 30078
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:47:40 (uptime: 0d, 00h 00m 23s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1372
capture.afpacket.polls                        | Total                     | 2184
capture.afpacket.poll_timeout                 | Total                     | 1632
capture.afpacket.poll_data                    | Total                     | 552
decoder.pkts                                  | Total                     | 1372
decoder.bytes                                 | Total                     | 289555
decoder.ipv4                                  | Total                     | 1372
decoder.ethernet                              | Total                     | 1372
decoder.tcp                                   | Total                     | 1372
tcp.syn                                       | Total                     | 96
tcp.synack                                    | Total                     | 96
tcp.rst                                       | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 211
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 96
flow.total                                    | Total                     | 105
flow.active                                   | Total                     | 105
flow.tcp                                      | Total                     | 105
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 96
tcp.ssn_from_pool                             | Total                     | 96
tcp.segment_from_pool                         | Total                     | 430
app_layer.flow.http                           | Total                     | 95
app_layer.tx.http                             | Total                     | 96
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 62
flow.mgr.flows_notimeout                      | Total                     | 62
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1867776
http.memuse                                   | Total                     | 36464
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 5/2/2025 -- 08:47:48 (uptime: 0d, 00h 00m 31s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1396
capture.afpacket.polls                        | Total                     | 2911
capture.afpacket.poll_timeout                 | Total                     | 2346
capture.afpacket.poll_data                    | Total                     | 565
decoder.pkts                                  | Total                     | 1396
decoder.bytes                                 | Total                     | 293402
decoder.ipv4                                  | Total                     | 1396
decoder.ethernet                              | Total                     | 1396
decoder.tcp                                   | Total                     | 1396
tcp.syn                                       | Total                     | 96
tcp.synack                                    | Total                     | 96
tcp.rst                                       | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 210
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 96
flow.total                                    | Total                     | 107
flow.active                                   | Total                     | 107
flow.tcp                                      | Total                     | 107
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
tcp.sessions                                  | Total                     | 96
tcp.ssn_from_pool                             | Total                     | 96
tcp.segment_from_pool                         | Total                     | 436
app_layer.flow.http                           | Total                     | 96
app_layer.tx.http                             | Total                     | 96
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 96
flow.mgr.flows_notimeout                      | Total                     | 96
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1888256
